Hour,GROUND_R5_Temp,GROUND_R5_Humidity,UPPER_R5_Temp,UPPER_R5_Humidity,District Heating Water Energy : HOT WATER LOOP DISTRICT HEATING,DistrictCooling:Facility : None,Electricity:Facility : None,Fans:Electricity : None,InteriorEquipment:Electricity : None,InteriorLights:Electricity : None,Pumps:Electricity : None,Water:Facility : None,Total Energy
66,21.609092340108706,64.32960867271491,21.424667468086188,49.45459433143284,460287476.9495518,125156094.07498644,154402934.17257264,8673228.299255883,115076445.1502623,28419860.95108005,2233399.7719744006,0.5429894330021654,349550791.18075204
67,21.531934749316704,64.12329605936812,21.475960069985845,49.86160783396309,459227693.47803164,114031143.02354321,160172920.45926657,8673228.299255883,114684788.38251103,34697230.00583395,2117673.771665708,0.6396861813450169,351259199.29312485
68,21.529776052592965,63.98741452581211,21.49350825237899,50.73466480329507,459284815.8612904,109155607.9356102,155829008.8265072,8673228.299255883,105914410.14066473,39181065.02230175,2060305.3642848898,0.6099333357010631,345309150.0921408
69,21.529663747520573,64.00418221178286,21.497585661917096,50.874745610240375,462228179.47823614,106364624.70170504,151497888.5630613,8673228.299255883,101602248.77013095,39181065.02230175,2041346.4713727057,0.5578658558241428,341028823.2897084
70,21.52988387820489,63.959305072362916,21.434932259943878,49.74542919916603,475230297.9555722,100135702.67280334,137008618.96458828,8673228.299255883,96065991.55618495,30213394.989366166,2056004.1197813163,0.4537308960703022,328797285.8407135
71,21.530455932991853,63.81387245695447,21.32415478004588,49.18076859467769,486677962.67009455,94907517.09671277,111739577.8827622,8673228.299255883,79749330.91590448,21245724.9564306,2071293.7111712296,0.3942252047823942,305601404.4716979
72,21.53152397523994,63.44582265369446,21.29290535749379,47.53988610548777,490630246.8775176,98052420.77638459,90326502.59021938,8673228.299255883,64510710.61825748,14968356.060171671,2174207.612534336,0.21570813091866772,286554058.47485346
73,21.532239520169227,62.83506046560523,21.164759360616255,45.892298864495054,501459666.831845,95115025.24438743,73088937.45081468,8673228.299255883,49884138.24231657,12278055.081989996,2253515.8272522315,0.059505691287907315,271947168.1428922
74,21.532007204579205,62.04035616276511,21.032196544458227,45.38952318583798,505231692.4953741,88287837.2449272,68774621.85408986,8673228.299255883,45571976.87178277,12278055.081989996,2251361.601061214,0.029752845643953606,266614465.10085696
75,21.53299099498629,60.63847194827261,20.976196306692426,44.556123147871915,505328396.30368054,85852567.48680627,66623820.22401469,8673228.299255883,43415896.1865159,12278055.081989996,2256640.656252933,0.007438211410988301,263684141.48751032
