Hour,Hydrogen_Produced_kg,Hydrogen_Stored_kg,Hydrogen_Used_kg,Electrolysis_Heat_Gain_kWh,FuelCell_Heat_Gain_kWh,Electrolysis Heat Consummed_kW,Energy_Consumption_kWh,Generated_PV_Power_kW,P_net_kW,Electrolysis Energy Consummed_kW,Fuel Cell Generated Energy_kWh,Useful_Energy_After_Storage_kWh,Water_Waste_filtered_kg,Tap_Water_Used_kg,Water_Needed_kg,Water_Produced_in_FuelCell_kg
45,0.0,0.0,0.0,0.0,0.0,0.0,91.6075747547152,0.0,-91.6075747547152,0.0,0.0,0.0,90.74617921406045,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,84.60461473049925,0.0,-84.60461473049925,0.0,0.0,0.0,78.84504095647884,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,78.67009952557731,0.0,-78.67009952557731,0.0,0.0,0.0,43.14162618373354,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,74.27106390259335,0.0,-74.27106390259335,0.0,0.0,0.0,11.901138257581461,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,72.17181027833956,0.0,-72.17181027833956,0.0,0.0,0.0,5.95056912879072,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,70.74319259736247,0.0,-70.74319259736247,0.0,0.0,0.0,1.4876422821976603,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,70.18470070992389,0.0,-70.18470070992389,0.0,0.0,0.0,1.4876422821976603,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,71.68412343895955,0.0,-71.68412343895955,0.0,0.0,0.0,5.95056912879072,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,75.1810881634092,0.0,-75.1810881634092,0.0,0.0,0.0,40.16634161933818,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,79.19416387229619,0.0,-79.19416387229619,0.0,0.0,0.0,139.83837452658523,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,82.97038921574442,0.0,-82.97038921574442,0.0,0.0,0.0,148.7642282197715,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,83.40857572910046,46.82347927777778,-36.585096451322684,0.0,0.0,46.82347927777778,142.81365909098065,0.0,0.0,0.0
57,1.2302431966391087,1.2302431966391087,0.0,20.502002871990747,0.0,0.8570694269919124,84.0712910655864,152.4113006388889,68.3400095733025,68.3400095733025,0.0,84.07129077911371,124.961951704608,11.072188769751978,11.072188769751978,0.0
58,2.016768383475798,3.247011580114907,0.0,33.60944511062417,0.0,1.4050153071548062,85.3594092979194,197.39089299999998,112.03148370208058,112.03148370208058,0.0,85.3594075952347,113.06081344702626,18.150915451282184,18.150915451282184,0.0
59,3.184377634727923,6.43138921484283,0.0,53.067653282740835,0.0,2.2184497521937865,87.22895439086385,264.121132,176.89217760913613,176.89217760913613,0.0,87.2289530513862,90.74617921406045,28.659398712551308,28.659398712551308,0.0
60,3.84791784584661,10.27930706068944,0.0,64.12555090103375,0.0,2.6807160992731385,87.69993671877641,301.4517730555556,213.75183633677915,213.75183633677915,0.0,87.69993455215915,78.84504095647884,34.63126061261949,34.63126061261949,0.0
61,3.8789848944567327,14.158291955146172,0.0,64.64328326612144,0.0,2.702359476471524,87.00700133515075,302.4846122222222,215.47761088707148,215.47761088707148,0.0,87.0069997521309,69.91918726329251,34.9108640501106,34.9108640501106,0.0
62,3.38682119786956,17.545113153015734,0.0,56.441375262496216,0.0,2.3594854345157934,85.51015501390154,273.6480725555556,188.13791754165405,188.13791754165405,0.0,85.51015325691162,60.99333357010616,30.48139078082604,30.48139078082604,0.0
63,1.9737089271769723,19.518822080192706,0.0,32.89185927140424,0.0,1.375017219266624,86.14905673420807,195.78858763888888,109.63953090468081,109.63953090468081,0.0,86.14905805640521,69.91918726329251,17.76338034459275,17.76338034459275,0.0
64,0.0,18.93808083520236,0.5807412449903466,0.0,2.7872792201560683,0.0,91.99251587855812,78.05611977777778,-13.936396100780343,0.0,13.93639610078034,91.99251587855812,81.82032552087425,0.0,0.0,5.22667120491312
65,0.0,15.812768303949234,3.1253125312531256,0.0,15.0,0.0,97.09744199465334,7.830372197222222,-89.26706979743112,0.0,75.0,82.83037219722222,108.59788660043309,0.0,0.0,28.12781278127813
66,0.0,12.687455772696108,3.1253125312531256,0.0,15.0,0.0,97.5719998036458,0.195518038,-97.37648176564579,0.0,75.0,75.195518038,127.93723626900338,0.0,0.0,28.12781278127813
67,0.0,9.562143241442982,3.1253125312531256,0.0,15.0,0.0,95.919208358928,0.0,-95.919208358928,0.0,75.0,75.0,121.98666714021263,0.0,0.0,28.12781278127813
68,0.0,6.436830710189856,3.1253125312531256,0.0,15.0,0.0,94.73022869158567,0.0,-94.73022869158567,0.0,75.0,75.0,111.57317116482857,0.0,0.0,28.12781278127813
69,0.0,3.3115181789367303,3.1253125312531256,0.0,15.0,0.0,91.3325794001982,0.0,-91.3325794001982,0.0,75.0,75.0,90.74617921406045,0.0,0.0,28.12781278127813
70,0.0,0.1862056476836047,3.1253125312531256,0.0,15.0,0.0,84.88927901991609,0.0,-84.88927901991609,0.0,75.0,75.0,78.84504095647884,0.0,0.0,28.12781278127813
71,0.0,0.0,0.1862056476836047,0.0,0.8936977301704143,0.0,79.59834957634818,0.0,-79.59834957634818,0.0,4.468488650852072,4.468488650852072,43.14162618373354,0.0,0.0,1.6758508291524423
72,0.0,0.0,0.0,0.0,0.0,0.0,75.54088003969227,0.0,-75.54088003969227,0.0,0.0,0.0,11.901138257581461,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,74.05957363912694,0.0,-74.05957363912694,0.0,0.0,0.0,5.95056912879072,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,73.24559485764176,0.0,-73.24559485764176,0.0,0.0,0.0,1.4876422821976603,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,72.6261004426718,0.0,-72.6261004426718,0.0,0.0,0.0,1.4876422821976603,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,73.27661829479956,0.0,-73.27661829479956,0.0,0.0,0.0,5.95056912879072,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,76.12496564026362,0.0,-76.12496564026362,0.0,0.0,0.0,40.16634161933818,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0,79.96947096961603,0.0,-79.96947096961603,0.0,0.0,0.0,139.83837452658523,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0,82.92471413478631,0.0,-82.92471413478631,0.0,0.0,0.0,148.7642282197715,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0,83.22153568230384,30.935474749999997,-52.28606093230384,0.0,0.0,30.935474749999997,142.81365909098065,0.0,0.0,0.0
81,0.9192422754556526,0.9192422754556526,0.0,15.31917252046845,0.0,0.6404054519007712,86.10348740399404,137.16739580555554,51.063908401561505,51.063908401561505,0.0,86.10348896547823,124.961951704608,8.273180479100873,8.273180479100873,0.0
82,2.6936609041002058,3.6129031795558584,0.0,44.88985896682993,0.0,1.8765837631898101,85.35462658278914,234.98748980555555,149.63286322276642,149.63286322276642,0.0,85.35462670660542,113.06081344702626,24.242948136901852,24.242948136901852,0.0
83,3.945293623392476,7.558196802948334,0.0,65.7483182338356,0.0,2.748554557630091,86.19869060943682,305.35975138888887,219.16106077945204,219.16106077945204,0.0,86.19868961261143,90.74617921406045,35.50764261053228,35.50764261053228,0.0
84,4.544905959969755,12.10310276291809,0.0,75.74085782289596,0.0,3.166284485445596,84.71810475701345,337.18763083333334,252.46952607631988,252.46952607631988,0.0,84.71810413305444,78.84504095647884,40.904153639727795,40.904153639727795,0.0
85,4.4271640838569155,16.530266846775007,0.0,73.7786894574755,0.0,3.084257645086984,82.88542486397056,328.81438972222224,245.92896485825167,245.92896485825167,0.0,82.88542507172788,69.91918726329251,39.84447675471224,39.84447675471224,0.0
86,3.630716873684314,20.16098372045932,0.0,60.50589669994908,0.0,2.5293994220000715,82.20156516683637,283.8878875,201.68632233316362,201.68632233316362,0.0,82.20156694294528,60.99333357010616,32.676451863158825,32.676451863158825,0.0
87,1.9826662085321174,22.143649928991437,0.0,33.041132365187735,0.0,1.381257458610708,83.2198243104853,193.35693219444443,110.13710788395913,110.13710788395913,0.0,83.2198230605184,69.91918726329251,17.843995876789055,17.843995876789055,0.0
